manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,gwp_eol_ratio
HP,HP ZCentral 4R Workstation,Workplace,Workstation,620.0,,30.36,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525222.pdf,0.2258,,9.94,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP 280 G5 Small Form Factor PC,Workplace,Workstation,625.0,,72.84,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524578.pdf,0.24,,5.53,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP 280 Pro G5 Small Form Factor PC,Workplace,Workstation,625.0,,72.84,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524579.pdf,0.24,,5.53,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP 290 G3 Small Form Factor PC,Workplace,Workstation,625.0,,72.84,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524580.pdf,0.24,,5.53,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP EliteDesk 805 G6 DM,Workplace,Workstation,440.0,,43.41,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524581.pdf,0.2273,,2.39,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP EliteOne 800 G6 27 All-in-One PC,Workplace,Workstation,660.0,,78.84,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524602.pdf,0.3485,,12.31,China,27.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP P22 G4 21.5-inch monitor,Workplace,Monitor,520.0,,35.99,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524843.pdf,0.2308,,3.15,China,21.5,,,,,,2022-09-15,HP Auto Parser,,
HP,HP Spectre x360 13 Convertible PC,Workplace,Monitor,350.0,,21.52,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525041.pdf,0.1714,,1.5,China,14.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP EliteOne 800 G6 24 All-in-One PC,Workplace,Workstation,530.0,,56.4,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524601.pdf,0.3396,,8.92,China,24.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP 260 G4 Desktop Mini PC,Workplace,Workstation,355.0,,22.73,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524594.pdf,0.2113,,2.36,China,,,,,,,2022-09-15,HP Auto Parser,,
